model,cv_roc_auc_mean,cv_roc_auc_sd,test_roc_auc,test_accuracy,test_precision,test_recall,test_f1
random_forest,0.9866426168255901,0.008211317595233504,0.9972746331236897,0.965034965034965,0.98,0.9245283018867925,0.9514563106796117
logistic_regression,0.9906452176461306,0.010174815587203328,0.9949685534591195,0.972027972027972,0.9803921568627451,0.9433962264150944,0.9615384615384616
